Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Financing Marine Protected Areas Through Visitor Fees: Insights from Tourists Willingness to Pay in Chile,"Gelcich, Stefan; Amar, Francisca; Valdebenito, Abel; Carlos Castilla, Juan; Fernandez, Miriam; Godoy, Cecilia; Biggs, Duan",AMBIO,42,8,975-984,10.1007/s13280-013-0453-z,2013,#289,Gelcich 2013
"Fishers' perceptions on the Chilean coastal TURF system after two decades: problems, benefits, and emerging needs","Gelcich, S.; Cinner, J.; Donlan, C. J.; Tapia-Lewin, S.; Godoy, N.; Castilla, J. C.",BULLETIN OF MARINE SCIENC,93,1,53-67,"
10.5343/bms.2015.1082",2017,#230,Gelcich 2017
The Chilean turf system:: How is it performing in the case of the loco fishery?,"Gonzalez, Jorge; Stotz, Wolfgang; Garrido, Jorge; Orensanz, J. M. (Lobo); Parma, Ana M.; Tapia, Carlos; Zuleta, Alejandro",BULLETIN OF MARINE SCIENCE ,78,3,499-527,,2006,#391,Gonzalez 2006
"The interplay of natural variability, productivity and management of the benthic ecosystem in the Humboldt Current System: Twenty years of assessment of Concholepas concholepas fishery under a TURF management system","Gonzalez, Jorge E.; Yannicelli, Beatriz; Stotz, Wolfgang",OCEAN & COASTAL MANAGEMENT,208,,,10.1016/j.ocecoaman.2021.105628,2021,#108,Gonzalez 2021
Exploring the role of access regimes over an economically important intertidal kelp species,"Gonzalez-Roca, Fernando; Gelcich, Stefan; Perez-Ruzafa, Angel; Alonso Vega, J. M.; Vasquez, Julio A.",OCEAN & COASTAL MANAGEMENT,212,105811,,10.1016/j.ocecoaman.2021.105811,2021,#101,Gonzalez-Roca 2021
Management regimes influence the response of Chilean kelp fishers when facing hypothetical future scenarios,"Gonzalez-Roca, Fernando; Vasquez, Julio A.; Gelcich, Stefan; Perez-Ruzafa, Angel",JOURNAL FOR NATURE CONSERVATION ,89,,,"
10.1016/j.jnc.2025.127082",2026,#3,Gonzalez-Roca 2026
The intensity of kelp harvesting shapes the population structure of the foundation species Lessonia trabeculata along the Chilean coastline,"Gouraguine, Adam; Moore, Pippa; Burrows, Michael T.; Velasco, Eliana; Ariz, Luis; Figueroa-Fabrega, Luis; Munoz-Cordovez, Rodrigo; Fernandez-Cisternas, Italo; Smale, Dan; Perez-Matus, Alejandro",MARINE BIOLOGY,168,5,,"
10.1007/s00227-021-03870-7",2021,#107,Gouraguine 2021
"Temperate rocky reef fish community patterns in a coastal marine protected area (MPA) from northern Chile, utilizing remote underwater video cameras (RUVs)","Gres, M.; Hüne, M.; Baldanzi, S.; Pérez-Matus, A.; Landaeta, M.F.",Regional Studies in Marine Science,69,,,10.1016/j.rsma.2023.103305,2024,#493,Gres 2024
"Assessment of Exploitation Intensity of Commercial Species and Associated Benthic Communities, in Chilean Marine Management Areas of North Patagonia","Hamame, Madeleine; Ortiz, Paula",FRONTIERS IN MARINE SCIENCE,8,,,10.3389/fmars.2021.635756,2022,#85,Hamame 2022
Spatial assessment of risks faced by marine protected areas in Chilean Patagonia,"Harms, Maria Jose Martinez; Larrain-Barrios, Barbara; Arregoitia, Luis D. Verde; Gelcich, Stefan; Alvarez, Ricardo R.; Tecklin, David",ECOLOGY AND SOCIETY,29,4,,10.5751/ES-15633-290440,2024,#20,Harms 2024
Trophic Ecology of Humpback Whales (Megaptera novaeangliae) in the Magellan Strait as Indicated by Carbon and Nitrogen Stable Isotopes,"Haro, Daniela; Riccialdelli, Luciana; Acevedo, Jorge; Aguayo-Lobo, Anelio; Montiel, Americo",AQUATIC MAMMALS,42,2,233-244,10.1578/AM.42.2.2016.233,2016,#250,Haro 2016
