Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#370,Loot 2008,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Descriptive,Parasite prevalence,"Mussel, Trematode parasite","Perumytilus purpuratus, Proctoeces lintoni",%,N/A,N/A,N/A,No,N/A,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,7,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Keyhole limpet, Trematode parasite","Fissurella crassa, Proctoeces lintoni",%,N/A,N/A,N/A,Yes,Chi squared,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,8,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Descriptive,Parasite prevalence,"Clingfish, Trematode parasite","Sicyases sanguineus, Proctoeces lintoni",%,N/A,N/A,N/A,No,N/A,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,9,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Size,Keyhole limpet,Fissurella crassa,mm,N/A,N/A,N/A,Yes,ANOVA,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#402,Loot 2005,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Inferential analysis,Density,Clingfish,"Sicyases sanguineus, Proctoeces lintoni",individuals/100m/30mins,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Inferential analysis,Density,Keyhole limpet,Fissurella crassa,individuals/0.25m2,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Abundance,Mussel,Perumytilus purpuratus,%,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Mean size,Keyhole limpet,Fissurella crassa,mm,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Descriptive,Size (distribution),Clingfish,Sicyases sanguineus,cm,N/A,N/A,N/A,No,N/A,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Clingfish, Trematode parasite","Sicyases sanguineus, Proctoeces lintoni",%,N/A,N/A,N/A,Yes,Chi squared,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,7,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Clingfish, Trematode parasite","Sicyases sanguineus, Proctoeces lintoni",no. of individuals,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,8,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Keyhole limpet, Trematode parasite","Fissurella crassa, Proctoeces lintoni",%,N/A,N/A,N/A,Yes,Chi squared,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,9,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Keyhole limpet, Trematode parasite","Fissurella crassa, Proctoeces lintoni",no. of individuals,N/A,N/A,N/A,Yes,ANOVA,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#402,Loot 2005,10,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Mussel, Trematode parasite","Perumytilus purpuratus, Proctoeces lintoni",%,N/A,N/A,N/A,Yes,Chi squared,1,2,0,1,2001,2002,1,1,No,No,,,,,,
#295,Friedlander 2013,1,Environmental,Environmental,Primary,Qualitative,Observation,N/A,N/A,N/A,N/A,N/A,Community composition,Narrative,Community composition,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Taxonomic richness,N/A,N/A,no. of taxa,N/A,N/A,N/A,Yes,ANOVA,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Invertebrate,12,no. of individuals,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
